protein_id	fasta_headers	gene_symbols_or_id	FS1-L	FS2-L	FS1-S	FS2-S	FW1-L	FW2-L	FW1-S	FW2-S	MS1-L	MS2-L	MS1-S	MS2-S	MS1d4-Exo	MS2d4-Exo	MS1d4-L	MS2d4-L	MS1d4-S	MS2d4-S	MW1-L	MW2-L	MW1-S	MW2-S	MW1d4-Exo	MW2d4-Exo	MW1d4-L	MW2d4-L	MW1d4-S	MW2d4-S
E0CYV9	>sp|E0CYV9|CD054_MOUSE Uncharacterized protein C4orf54 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|E0CYV9|CD054_MOUSE	17.090426060981	18.2969561918454			17.9550940443993	18.419198556876									17.9662971773125	19.0697068517063				14.8172601579817					17.95995532531	17.9661698481315		
P01657	>sp|P01657|KV3A5_MOUSE Ig kappa chain V-III region PC 2413 OS=Mus musculus OX=10090 PE=1 SV=1	sp|P01657|KV3A5_MOUSE											18.2167499544129			16.0587668164023			19.6410879113944	20.1236708880765			18.0976428888619						20.0746079605276	19.8593936090998
Q3U6N9	>sp|Q3U6N9|CH033_MOUSE UPF0488 protein C8orf33 homolog OS=Mus musculus OX=10090 PE=2 SV=1	sp|Q3U6N9|CH033_MOUSE	19.6894691173788	20.8898544702474			21.7958676484317	21.8120895415713			21.0112572894142	20.8382437063853		15.8872372779667			20.3366024434028	21.7925551967728		15.9380518783119	21.2799709740367	21.0416912320823					19.9788556685625	20.2798236544505		
Q3UPC7	>sp|Q3UPC7|K0825_MOUSE Uncharacterized protein KIAA0825 homolog OS=Mus musculus OX=10090 PE=2 SV=3	sp|Q3UPC7|K0825_MOUSE	15.8614019763524												17.2443731269744	17.3997118428541									17.6152488563739	17.8062160457834				
Q3UUX7	>sp|Q3UUX7|CD046_MOUSE Uncharacterized protein C4orf46 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q3UUX7|CD046_MOUSE						21.5759786476548																						
Q5XFZ0	>sp|Q5XFZ0|CR021_MOUSE UPF0711 protein C18orf21 homolog OS=Mus musculus OX=10090 PE=2 SV=2	sp|Q5XFZ0|CR021_MOUSE	16.3317931224103	17.5350042178384			19.2743665566336	19.2261773444542		15.0896546430658	19.1170694607498	18.777103567033	16.8790054318444	16.5262554806146			16.9527378200741	18.7315925538111			19.4768236517005	18.9240887526822						16.7525211458571		
Q80WR5	>sp|Q80WR5|CA174_MOUSE UPF0688 protein C1orf174 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q80WR5|CA174_MOUSE					17.7224673586389	17.587330706174			17.4125367692286	17.5999128421871					16.4466084073699	17.733161003643			17.6590481996006	17.2059650249369								
Q8C3W1	>sp|Q8C3W1|CA198_MOUSE Uncharacterized protein C1orf198 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q8C3W1|CA198_MOUSE	17.9239608388204	18.9966688208691			20.1511511611888	19.983112333474	18.2711284987807	17.7741080265986	19.1310607377151	19.3776252972709					19.4401429361946	20.484940093808			19.4566480308842	19.1186398537198					19.0248947018365	18.7242204192055		
Q8C5K5	>sp|Q8C5K5|CX038_MOUSE Uncharacterized protein CXorf38 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q8C5K5|CX038_MOUSE					20.6852073328385	20.8869334546822				20.2477606625208									21.0578806996529									
Q8CDN1	>sp|Q8CDN1|CC020_MOUSE Uncharacterized protein C3orf20 homolog OS=Mus musculus OX=10090 PE=2 SV=1	sp|Q8CDN1|CC020_MOUSE																										21.1172448565908		
Q8WUR0	>sp|Q8WUR0|CS012_MOUSE Protein C19orf12 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q8WUR0|CS012_MOUSE					19.7208314860336	19.8572900338771			19.6857882187855	19.8610909247224						20.1300081253782			19.3741326067318	19.514110256233						17.3906527539366		
Q91V76	>sp|Q91V76|CK054_MOUSE Ester hydrolase C11orf54 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q91V76|CK054_MOUSE		17.4548178373802	19.5554458287033	18.7533111657703	19.4564011497909	20.0806028454603	18.8919026013012	18.5553241018091	19.743280634739	19.8737067081612	18.8056875420918	17.6719959902215		14.3365802771206		19.9394604548543	19.1511730893731	19.3770974468723	19.8308239453141	19.6042814841562	17.3139036172144				17.5794939893559	18.3998094570587	19.2367179420388	19.0857793867741
Q9CR55	>sp|Q9CR55|CP087_MOUSE UPF0547 protein C16orf87 homolog OS=Mus musculus OX=10090 PE=2 SV=1	sp|Q9CR55|CP087_MOUSE					18.3134942273364	18.34030651274			17.4066285422155							18.0840661338817			17.6204847497429									
Q9D727	>sp|Q9D727|CF226_MOUSE Uncharacterized protein C6orf226 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q9D727|CF226_MOUSE		17.0868306039904			18.3038662767843	18.836721446183		15.5076837952217	18.2053710627566	18.3881169877144					17.4770112860412	18.9869799335143			18.8098169023813	18.3101056339829					17.5831122102515	17.2689804423333		
Q9D7E4	>sp|Q9D7E4|CS025_MOUSE UPF0449 protein C19orf25 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q9D7E4|CS025_MOUSE	17.3180200076225	17.6752099024006			18.720341741228	18.7845644483431			18.0204757488676	18.0532904264342					18.5299153142016	19.4696517307983			18.6295538263322	17.9852094699481					18.4800291426955	17.8232009774672		
Q9D937	>sp|Q9D937|CK098_MOUSE Uncharacterized protein C11orf98 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q9D937|CK098_MOUSE		17.418717358519			18.3205625945559	18.4161212707363			17.8821474676608	17.761278519856					16.2841806708991	18.6037096440804			18.510740992156	17.9568979235115								
A0AAQ4VMW9	>tr|A0AAQ4VMW9|A0AAQ4VMW9_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 PE=4 SV=1	tr|A0AAQ4VMW9|A0AAQ4VMW9_MOUSE		18.2390244253389			18.3875185726447	18.826357691299			18.1117804197011	18.4064122193626					18.1313999257386	19.1839899361124			18.4619460835522	18.2068895173727					17.3393555536952	17.337775030283		
D3YWR8	>tr|D3YWR8|D3YWR8_MOUSE Isoform of Q8K039, RIKEN cDNA 1110059G10 gene OS=Mus musculus OX=10090 GN=1110059G10Rik PE=1 SV=1	1110059G10RIK	17.8703526778077	19.5457884027741			20.8252336560004	21.0402335252126			20.1302764397314	20.1597900528419					19.508572411984	20.555716265952			20.3482245855636	20.1287797570798					18.5373321684788			
V9GWZ1;V9GXF1	>tr|V9GWZ1|V9GWZ1_MOUSE Isoform of B1ARW8, RIKEN cDNA 1110065P20 gene (Fragment) OS=Mus musculus OX=10090 GN=1110065P20Rik PE=1 SV=1;>tr|V9GXF1|V9GXF1_MOUSE Isoform of B1ARW8, RIKEN cDNA 1110065P20 gene OS=Mus musculus OX=10090 GN=1110065P20Rik PE=1 SV=1	1110065P20RIK					18.2155756565982	18.5138355226747			18.0093857970122	17.9569546258669						19.5975197535649			18.2088154199701	17.5785790791744								
Q14AA6	>tr|Q14AA6|Q14AA6_MOUSE GTP-binding nuclear protein Ran OS=Mus musculus OX=10090 GN=1700009N14Rik PE=1 SV=1	1700009N14RIK						20.6193280338325	19.023426795066	18.7281031988924	20.1093970870206					18.490721633698	20.5596608930215	21.3759228946759			20.1612303167878	20.2136762048613			18.5496605982985		19.266162014708			
Q8BWE1	>tr|Q8BWE1|Q8BWE1_MOUSE RIKEN cDNA 1810024B03 gene OS=Mus musculus OX=10090 GN=1810024B03Rik PE=2 SV=1	1810024B03RIK	18.8636932541455	19.5967175352325			19.8931593023357	20.2567246870658										20.1547439554687		16.1924084104038	17.0728862539721						20.0581450263375			
A0A087WRI8;A0A0R4J2B5;G5E8E3	>tr|A0A087WRI8|A0A087WRI8_MOUSE Isoform of Q8R3Y5, RIKEN cDNA 2310022A10 gene OS=Mus musculus OX=10090 GN=2310022A10Rik PE=1 SV=1;>tr|A0A0R4J2B5|A0A0R4J2B5_MOUSE Isoform of Q8R3Y5, RIKEN cDNA 2310022A10 gene OS=Mus musculus OX=10090 GN=2310022A10Rik PE=1 SV=1;>tr|G5E8E3|G5E8E3_MOUSE Isoform of Q8R3Y5, RIKEN cDNA 2310022A10 gene OS=Mus musculus OX=10090 GN=2310022A10Rik PE=1 SV=1	2310022A10RIK					19.4777582664439	19.3970645803255																						
Q6GQT1	>sp|Q6GQT1|A2MG_MOUSE Alpha-2-macroglobulin-P OS=Mus musculus OX=10090 GN=A2m PE=2 SV=2	A2M	19.517016338043	17.071158333203	22.8703739929708	22.4945578116106	17.9094203417118	19.7896967310479	23.2149515041246	22.1599074207773	18.7808452984156	19.2353768474933	22.8161090781816	21.7846737249793	22.3213679042283	23.3012544393922		18.4591149003132	24.1814798846404	24.1156398034158	19.1479091616962	19.6080808506748	23.7885113619071	19.0231054881262	21.8089981637055	21.298465870771		16.5687106340285	24.4229939091803	24.4575822503462
Q9D2R0	>sp|Q9D2R0|AACS_MOUSE Acetoacetyl-CoA synthetase OS=Mus musculus OX=10090 GN=Aacs PE=1 SV=1	AACS	17.7504491428433	19.0514418493254	19.6077365201377		21.5664188865514	21.4740285510776	18.3866534713075	18.2055451615666	22.0323967688414	21.5977365490331			17.9571859942068		19.5566421295483	21.5628286711116			21.8743903219644	21.2921971101576					18.5570180050578	19.1243717765577		
Q8BUY2	>tr|Q8BUY2|Q8BUY2_MOUSE AADACL2 family member 1 OS=Mus musculus OX=10090 GN=Aadacl2fm1 PE=2 SV=1	AADACL2FM1									20.0286264516315										20.6456953689139	20.0505262485137								
Q8R2R3	>sp|Q8R2R3|AAGAB_MOUSE Alpha- and gamma-adaptin-binding protein p34 OS=Mus musculus OX=10090 GN=Aagab PE=1 SV=2	AAGAB					19.2517597684122	19.5729111270711			19.4520521703744	19.1150843026277						19.4444224683293			19.2136002696717	19.2515286406219						18.1180894107634		
A0A571BEI2	>tr|A0A571BEI2|A0A571BEI2_MOUSE Isoform of Q3UHJ0, AP2 associated kinase 1 (Fragment) OS=Mus musculus OX=10090 GN=Aak1 PE=1 SV=1	AAK1		18.3101936036363			20.1879025094012	19.9819245694651	17.621901559885	19.4419001245213	19.4579894240335	19.7500284579697					18.7869181654783	20.8891531996455			19.3436032565809	19.5402681131551					17.7395051455172	18.075178953693		
Q3UHJ0	>sp|Q3UHJ0|AAK1_MOUSE AP2-associated protein kinase 1 OS=Mus musculus OX=10090 GN=Aak1 PE=1 SV=2	AAK1	18.5300851442358	19.9992984343313			21.3991845821898	21.4413311724878		15.7270760727221	20.5117769965242	20.5999050604619		16.1122667817742		16.9942518224554	20.1974034534516	21.9814741710918		15.7786908117196	20.8329555690667	20.5070332136803					19.0058328497375	19.1233781574087		
Q8R0P4	>sp|Q8R0P4|AAMDC_MOUSE Mth938 domain-containing protein OS=Mus musculus OX=10090 GN=Aamdc PE=1 SV=1	AAMDC	19.2629635431262	20.2195199073164	17.8728703720002	18.375473004757	21.2662028746075	21.6228088749094	19.2918569888092	19.2365601542677	18.6054324418177	18.3952494525477	20.2326967261372	19.81024379318			19.942246588472	21.7702134894373	19.6139244773614	19.9317689318867	18.8887649427465	18.8956500428699					19.197829723828	19.4985671357149	19.3819200434726	19.9854096651443
Q8BGQ7	>sp|Q8BGQ7|SYAC_MOUSE Alanine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Aars1 PE=1 SV=1	AARS1	18.2008503823092	19.154279290667	18.9115739254445	19.1113252158141	21.0320908017128	21.1645472807054	19.1185793757964	19.5118501695179	21.3451634920938	20.980480219107	18.7635371004895	18.2001707595832	17.8654852870943	18.3639013420634	19.0132662778905	20.962324408402	18.3471487248912	18.5671242465091	21.1534681773539	20.7547179815831	18.8662298525833	18.4555080973121	18.1596278767122	17.2944268395152	18.4876672286692	18.590591085818	18.5553866626724	18.5469449884096
Q14CH7	>sp|Q14CH7|SYAM_MOUSE Alanine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Aars2 PE=1 SV=1	AARS2	18.2397570051892	19.2645571389217			19.5868086419925	19.8755273923375			18.9523601874386	18.4001664826298					19.1305378854249	19.8224805850036			19.1135870281154	18.9673529259713					19.1287596230332	19.0568890430386		
Q9JKX4	>sp|Q9JKX4|AATF_MOUSE Protein AATF OS=Mus musculus OX=10090 GN=Aatf PE=1 SV=1	AATF	18.0710971069782	18.951439537943			19.5914421906776	19.7812915399214			19.0803621691309	18.9765433684682					18.5515456811846	19.4982379066568			19.2438287144434	19.0072864410043					18.3236675919766	18.1668082886982		
A0AA74KTA3	>tr|A0AA74KTA3|A0AA74KTA3_MOUSE Isoform of A0AA74KT47, KRAB domain-containing protein OS=Mus musculus OX=10090 GN=AB010352 PE=4 SV=1	AB010352				19.8011510128387	19.5945159658733		20.7641750787146																					
