protein_id	fasta_headers	gene_symbols_or_id	MS1d4-S	MS2d4-S	MW1d4-S	MW2d4-S
P01657	>sp|P01657|KV3A5_MOUSE Ig kappa chain V-III region PC 2413 OS=Mus musculus OX=10090 PE=1 SV=1	sp|P01657|KV3A5_MOUSE	19.4153423524596	19.7542001958332	19.8016972736195	19.353266126837
Q91V76	>sp|Q91V76|CK054_MOUSE Ester hydrolase C11orf54 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q91V76|CK054_MOUSE	19.0923639112057	19.0739314226578	19.061343432793	18.7769515484846
Q6GQT1	>sp|Q6GQT1|A2MG_MOUSE Alpha-2-macroglobulin-P OS=Mus musculus OX=10090 GN=A2m PE=2 SV=2	A2M	22.9365392846158	22.6130087788551	23.1570608865119	22.8592435294325
Q8R0P4	>sp|Q8R0P4|AAMDC_MOUSE Mth938 domain-containing protein OS=Mus musculus OX=10090 GN=Aamdc PE=1 SV=1	AAMDC	19.2239473567234	19.4377943529454	19.3380822012905	19.2559044194838
Q8BGQ7	>sp|Q8BGQ7|SYAC_MOUSE Alanine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Aars1 PE=1 SV=1	AARS1	18.4289509616146	18.7137721557233	18.4721039123207	18.4719257283534
Q9DC29	>sp|Q9DC29|ABCB6_MOUSE ATP-binding cassette sub-family B member 6 OS=Mus musculus OX=10090 GN=Abcb6 PE=1 SV=1	ABCB6	26.1277394970984	26.4603346985423	25.8368499187625	25.9638618686906
P61222	>sp|P61222|ABCE1_MOUSE ATP-binding cassette sub-family E member 1 OS=Mus musculus OX=10090 GN=Abce1 PE=1 SV=1	ABCE1		15.8258697150016	16.4368717443942	17.2047215418971
Q99LE6	>sp|Q99LE6|ABCF2_MOUSE ATP-binding cassette sub-family F member 2 OS=Mus musculus OX=10090 GN=Abcf2 PE=1 SV=1	ABCF2	17.8106128144361	18.2913315794161	17.9089676281301	18.1667941560837
Q8VCR7	>sp|Q8VCR7|ABHEB_MOUSE Putative protein-lysine deacylase ABHD14B OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1	ABHD14B	17.9918031787995	18.4034188926973	17.9651980143716	17.6262921600372
Q8CBW3	>sp|Q8CBW3|ABI1_MOUSE Abl interactor 1 OS=Mus musculus OX=10090 GN=Abi1 PE=1 SV=3	ABI1	16.890473860757	17.211700912254	17.0451046012281	16.5974886526112
A0A338P6S8;A0A338P6W9;E9Q8E3;Q59IW5;Q59IW6;Q59IW7;Q59IW9	>tr|A0A338P6S8|A0A338P6S8_MOUSE ABI family member 3 binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1;>tr|A0A338P6W9|A0A338P6W9_MOUSE Isoform of A0A338P6S8, ABI family member 3 binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1;>tr|E9Q8E3|E9Q8E3_MOUSE Isoform of A0A338P6S8, ABI family member 3 binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1;>tr|Q59IW5|Q59IW5_MOUSE Isoform of A0A338P6S8, ABI family member 3 binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1;>tr|Q59IW6|Q59IW6_MOUSE Isoform of A0A338P6S8, ABI family member 3 binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1;>tr|Q59IW7|Q59IW7_MOUSE Isoform of A0A338P6S8, ABI family member 3 binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1;>tr|Q59IW9|Q59IW9_MOUSE Isoform of A0A338P6S8, ABI family member 3 binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1	ABI3BP	19.8555755894915	19.1971956370643	19.0855932558453	19.3370633750874
Q8BUZ1	>sp|Q8BUZ1|ABRA_MOUSE Actin-binding Rho-activating protein OS=Mus musculus OX=10090 GN=Abra PE=1 SV=1	ABRA	17.1023915913389			16.735175008276
Q4KML4	>sp|Q4KML4|ABRAL_MOUSE Costars family protein ABRACL OS=Mus musculus OX=10090 GN=Abracl PE=1 SV=1	ABRACL	21.5987807568641	21.8320868010031	21.7624069299867	22.035605466478
Q3TCJ1	>sp|Q3TCJ1|ABRX2_MOUSE BRISC complex subunit Abraxas 2 OS=Mus musculus OX=10090 GN=Abraxas2 PE=1 SV=1	ABRAXAS2	16.9625080307452		16.9478362945099	17.3317669313894
Q8BWT1	>sp|Q8BWT1|THIM_MOUSE 3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus OX=10090 GN=Acaa2 PE=1 SV=3	ACAA2	16.8780188058801	17.2795108023304	17.6424220225046	17.8747850896548
P51174	>sp|P51174|ACADL_MOUSE Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadl PE=1 SV=2	ACADL	17.4445718848604		18.035899040394	17.1953004431891
Q8CAY6	>sp|Q8CAY6|THIC_MOUSE Acetyl-CoA acetyltransferase, cytosolic OS=Mus musculus OX=10090 GN=Acat2 PE=1 SV=2	ACAT2	18.6186795560433	18.0122072611509	18.5378249908291	18.0997692159015
Q8BMP6	>sp|Q8BMP6|GCP60_MOUSE Golgi resident protein GCP60 OS=Mus musculus OX=10090 GN=Acbd3 PE=1 SV=3	ACBD3	19.6251264187082	19.8965313905424	20.142185376023	20.0360054961162
P09470	>sp|P09470|ACE_MOUSE Angiotensin-converting enzyme OS=Mus musculus OX=10090 GN=Ace PE=1 SV=3	ACE	18.5863405755971	18.31149389995	18.9883250390243	18.1481150283331
Q9JIX8	>sp|Q9JIX8|ACINU_MOUSE Apoptotic chromatin condensation inducer in the nucleus OS=Mus musculus OX=10090 GN=Acin1 PE=1 SV=3	ACIN1	16.725729813042	17.5358095991333	17.1126362785318	17.2498994742217
Q3V117	>tr|Q3V117|Q3V117_MOUSE Isoform of Q91V92, ATP-citrate synthase OS=Mus musculus OX=10090 GN=Acly PE=1 SV=1	ACLY	18.4318505868627	18.0140471457821	18.7885002235671	18.3310315826104
P28271	>sp|P28271|ACOHC_MOUSE Cytoplasmic aconitate hydratase OS=Mus musculus OX=10090 GN=Aco1 PE=1 SV=3	ACO1	18.0721338901651	18.0094320136769	17.9409736772244	18.2198090576087
Q99KI0	>sp|Q99KI0|ACON_MOUSE Aconitate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1	ACO2	17.5516601391541	17.5405860078281	18.1362900615145	17.9235928672422
Q9QYR9	>sp|Q9QYR9|ACOT2_MOUSE Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus OX=10090 GN=Acot2 PE=1 SV=2	ACOT2	20.1694425585815	20.3602844860096	19.7302290915379	19.7736266989148
