protein_id	fasta_headers	gene_symbols_or_id	MS1d4-L	MS2d4-L	MW1d4-L	MW2d4-L
E0CYV9	>sp|E0CYV9|CD054_MOUSE Uncharacterized protein C4orf54 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|E0CYV9|CD054_MOUSE	17.6766135048557	17.0229201960674	18.2918742077376	18.0784480644862
Q3U6N9	>sp|Q3U6N9|CH033_MOUSE UPF0488 protein C8orf33 homolog OS=Mus musculus OX=10090 PE=2 SV=1	sp|Q3U6N9|CH033_MOUSE	20.5176995607355	20.2194652677665	20.7622695785765	20.8855427948918
Q5XFZ0	>sp|Q5XFZ0|CR021_MOUSE UPF0711 protein C18orf21 homolog OS=Mus musculus OX=10090 PE=2 SV=2	sp|Q5XFZ0|CR021_MOUSE	16.5707312694477	16.533163575271		16.9028975131242
Q8C3W1	>sp|Q8C3W1|CA198_MOUSE Uncharacterized protein C1orf198 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q8C3W1|CA198_MOUSE	19.8571398200326	19.2086835434397	20.0969810022384	19.5479750922587
Q8WUR0	>sp|Q8WUR0|CS012_MOUSE Protein C19orf12 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q8WUR0|CS012_MOUSE		18.9632808972492		18.6983751136199
Q91V76	>sp|Q91V76|CK054_MOUSE Ester hydrolase C11orf54 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q91V76|CK054_MOUSE		18.5540290156911	17.7234911780768	18.7717825394081
Q9D727	>sp|Q9D727|CF226_MOUSE Uncharacterized protein C6orf226 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q9D727|CF226_MOUSE	17.5381411524863	17.258214275422	18.2233531237992	17.7645689250383
Q9D7E4	>sp|Q9D7E4|CS025_MOUSE UPF0449 protein C19orf25 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q9D7E4|CS025_MOUSE	18.6814349195088	17.7975590638363	18.9911841005782	18.1407898733149
A0AAQ4VMW9	>tr|A0AAQ4VMW9|A0AAQ4VMW9_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 PE=4 SV=1	tr|A0AAQ4VMW9|A0AAQ4VMW9_MOUSE	18.7149705261343	18.0526153471892	18.5252429468058	18.3459676538214
D3YWR8	>tr|D3YWR8|D3YWR8_MOUSE Isoform of Q8K039, RIKEN cDNA 1110059G10 gene OS=Mus musculus OX=10090 GN=1110059G10Rik PE=1 SV=1	1110059G10RIK	19.6896695293107	18.9826263369165	19.3207460784993	
Q14AA6	>tr|Q14AA6|Q14AA6_MOUSE GTP-binding nuclear protein Ran OS=Mus musculus OX=10090 GN=1700009N14Rik PE=1 SV=1	1700009N14RIK	20.7407580103554	19.8028329656624	20.0495759247244	
Q8BWE1	>tr|Q8BWE1|Q8BWE1_MOUSE RIKEN cDNA 1810024B03 gene OS=Mus musculus OX=10090 GN=1810024B03Rik PE=2 SV=1	1810024B03RIK		18.581654026417	20.8415589363513	
Q6GQT1	>sp|Q6GQT1|A2MG_MOUSE Alpha-2-macroglobulin-P OS=Mus musculus OX=10090 GN=A2m PE=2 SV=2	A2M		18.2574902660533		18.545895069291
Q9D2R0	>sp|Q9D2R0|AACS_MOUSE Acetoacetyl-CoA synthetase OS=Mus musculus OX=10090 GN=Aacs PE=1 SV=1	AACS	19.1296329583405	19.5047306088762	18.7363331052384	19.0014423507591
Q8R2R3	>sp|Q8R2R3|AAGAB_MOUSE Alpha- and gamma-adaptin-binding protein p34 OS=Mus musculus OX=10090 GN=Aagab PE=1 SV=2	AAGAB		17.8713325392351		18.7238085512154
A0A571BEI2	>tr|A0A571BEI2|A0A571BEI2_MOUSE Isoform of Q3UHJ0, AP2 associated kinase 1 (Fragment) OS=Mus musculus OX=10090 GN=Aak1 PE=1 SV=1	AAK1	18.9786409411358	19.4468408262233	18.6614650234059	18.8558918771951
Q3UHJ0	>sp|Q3UHJ0|AAK1_MOUSE AP2-associated protein kinase 1 OS=Mus musculus OX=10090 GN=Aak1 PE=1 SV=2	AAK1	19.9196316343408	20.0478956346533	19.4140571744184	19.3619062785624
Q8R0P4	>sp|Q8R0P4|AAMDC_MOUSE Mth938 domain-containing protein OS=Mus musculus OX=10090 GN=Aamdc PE=1 SV=1	AAMDC	19.6416755263131	19.7870444230321	19.7447215942231	20.0047985544661
Q8BGQ7	>sp|Q8BGQ7|SYAC_MOUSE Alanine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Aars1 PE=1 SV=1	AARS1	19.3555217825785	19.7266312342404	19.4746612826816	19.3928031606191
Q14CH7	>sp|Q14CH7|SYAM_MOUSE Alanine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Aars2 PE=1 SV=1	AARS2	19.3116350027474	18.2493906559345	19.9121735330503	19.662608183484
Q9JKX4	>sp|Q9JKX4|AATF_MOUSE Protein AATF OS=Mus musculus OX=10090 GN=Aatf PE=1 SV=1	AATF	19.0217142796423	18.1901614334426	19.461295017895	18.9874721441817
Q8K449	>sp|Q8K449|ABCA9_MOUSE ATP-binding cassette sub-family A member 9 OS=Mus musculus OX=10090 GN=Abca9 PE=1 SV=2	ABCA9	17.5464028708464	16.1488837029556	18.208949466023	17.5065034174453
Q9JI39	>sp|Q9JI39|ABCBA_MOUSE ATP-binding cassette sub-family B member 10, mitochondrial OS=Mus musculus OX=10090 GN=Abcb10 PE=1 SV=1	ABCB10	20.9018106482043	20.4609284979965	20.4457710985427	21.094732111478
Q9JJ59	>sp|Q9JJ59|ABCB9_MOUSE ABC-type oligopeptide transporter ABCB9 OS=Mus musculus OX=10090 GN=Abcb9 PE=1 SV=1	ABCB9	18.6676022166176	16.7962049496433	19.7756248087797	18.6848132387018
P61222	>sp|P61222|ABCE1_MOUSE ATP-binding cassette sub-family E member 1 OS=Mus musculus OX=10090 GN=Abce1 PE=1 SV=1	ABCE1	20.2319048538116	18.8113285534427	20.420968220538	20.024562892971
Q6P542	>sp|Q6P542|ABCF1_MOUSE ATP-binding cassette sub-family F member 1 OS=Mus musculus OX=10090 GN=Abcf1 PE=1 SV=1	ABCF1	19.8548640709124	20.146201986758	20.2653785524891	20.5044396201526
Q99LE6	>sp|Q99LE6|ABCF2_MOUSE ATP-binding cassette sub-family F member 2 OS=Mus musculus OX=10090 GN=Abcf2 PE=1 SV=1	ABCF2	19.3447764839045	19.969594448246	19.6725686095998	19.3262889520664
Q99LR1	>sp|Q99LR1|ABD12_MOUSE Lysophosphatidylserine lipase ABHD12 OS=Mus musculus OX=10090 GN=Abhd12 PE=1 SV=2	ABHD12		15.7444375102363		15.8588981460465
Q8VCR7	>sp|Q8VCR7|ABHEB_MOUSE Putative protein-lysine deacylase ABHD14B OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1	ABHD14B		16.6303249910873		17.9384725211893
Q9Z1Q2	>sp|Q9Z1Q2|ABHGA_MOUSE Phosphatidylserine lipase ABHD16A OS=Mus musculus OX=10090 GN=Abhd16a PE=1 SV=3	ABHD16A		17.29628401839		16.5209823301029
Q8VD66	>sp|Q8VD66|ABHD4_MOUSE (Lyso)-N-acylphosphatidylethanolamine lipase OS=Mus musculus OX=10090 GN=Abhd4 PE=1 SV=1	ABHD4	16.8314735530718	17.0746617721948		17.3419961826537
Q8CBW3	>sp|Q8CBW3|ABI1_MOUSE Abl interactor 1 OS=Mus musculus OX=10090 GN=Abi1 PE=1 SV=3	ABI1	22.5602792641687	22.0609699650432	22.4239465966654	22.2472002909205
P62484	>sp|P62484|ABI2_MOUSE Abl interactor 2 OS=Mus musculus OX=10090 GN=Abi2 PE=1 SV=1	ABI2	20.3892814553298	19.3802994572489	20.0903233503114	20.1530957039414
Q8K4G5	>sp|Q8K4G5|ABLM1_MOUSE Actin-binding LIM protein 1 OS=Mus musculus OX=10090 GN=Ablim1 PE=1 SV=1	ABLIM1	18.593247780322	18.9483100228936		18.6890817784443
A0A0J9YUE1	>tr|A0A0J9YUE1|A0A0J9YUE1_MOUSE Isoform of Q8BL65, Actin-binding LIM protein 2 OS=Mus musculus OX=10090 GN=Ablim2 PE=4 SV=1	ABLIM2	20.0680737241732	20.4192558361367	20.22759976371	
Q69ZX8	>sp|Q69ZX8|ABLM3_MOUSE Actin-binding LIM protein 3 OS=Mus musculus OX=10090 GN=Ablim3 PE=1 SV=2	ABLIM3	20.2317620404703	19.4806086877318	19.6331990814768	19.707739878628
Q8BUZ1	>sp|Q8BUZ1|ABRA_MOUSE Actin-binding Rho-activating protein OS=Mus musculus OX=10090 GN=Abra PE=1 SV=1	ABRA	17.8735423513111	18.0280424601571		17.5418739533727
Q4KML4	>sp|Q4KML4|ABRAL_MOUSE Costars family protein ABRACL OS=Mus musculus OX=10090 GN=Abracl PE=1 SV=1	ABRACL	21.0062375875191	21.1301783252224	20.3691778565488	19.861808017198
Q3TCJ1	>sp|Q3TCJ1|ABRX2_MOUSE BRISC complex subunit Abraxas 2 OS=Mus musculus OX=10090 GN=Abraxas2 PE=1 SV=1	ABRAXAS2	22.1093348481232	20.0926344541573	21.8474332331869	21.6468225949394
Q921H8	>sp|Q921H8|THIKA_MOUSE 3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus OX=10090 GN=Acaa1a PE=1 SV=1	ACAA1A	19.9284688079238	20.0361777872638	19.8009045866476	19.6054780846575
Q8BWT1	>sp|Q8BWT1|THIM_MOUSE 3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus OX=10090 GN=Acaa2 PE=1 SV=3	ACAA2	20.1147326866886	20.4964524638587	19.7349344231049	20.4681075685626
Q5SWU9	>sp|Q5SWU9|ACACA_MOUSE Acetyl-CoA carboxylase 1 OS=Mus musculus OX=10090 GN=Acaca PE=1 SV=1	ACACA	17.8934629017407	17.1917492731238	17.6311686447022	17.8234213005975
Q9D7B6	>sp|Q9D7B6|ACAD8_MOUSE Isobutyryl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acad8 PE=1 SV=2	ACAD8	20.2658132519084	20.4084809347956	20.3719587254389	20.5830906740909
Q8JZN5	>sp|Q8JZN5|ACAD9_MOUSE Complex I assembly factor ACAD9, mitochondrial OS=Mus musculus OX=10090 GN=Acad9 PE=1 SV=2	ACAD9	19.5558706795616	19.6418858340788	19.8267877500114	20.348534687614
P51174	>sp|P51174|ACADL_MOUSE Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadl PE=1 SV=2	ACADL	20.4674117144144	20.6275100865114	20.4433752249452	20.6108687887719
P45952	>sp|P45952|ACADM_MOUSE Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadm PE=1 SV=1	ACADM	18.9681015604306	19.5108866880258	19.4632602475662	19.5181271182804
Q07417	>sp|Q07417|ACADS_MOUSE Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acads PE=1 SV=2	ACADS	19.6004476266037	19.9756763434285	20.1512397699615	20.0698871982111
Q9DBL1	>sp|Q9DBL1|ACDSB_MOUSE Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadsb PE=1 SV=1	ACADSB	19.2910163857332	19.0323945255524	19.3217712699705	19.090278560721
P50544	>sp|P50544|ACADV_MOUSE Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadvl PE=1 SV=3	ACADVL	20.2428512099531	19.8279122564085	20.4780346305443	20.6214027199616
Q6ZQK5	>sp|Q6ZQK5|ACAP2_MOUSE Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Mus musculus OX=10090 GN=Acap2 PE=1 SV=2	ACAP2		18.4635666478617		17.8531831314672
Q8QZT1	>sp|Q8QZT1|THIL_MOUSE Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Acat1 PE=1 SV=1	ACAT1	20.9008323607336	20.6709005527371	20.9482312791369	20.9264737540217
Q8CAY6	>sp|Q8CAY6|THIC_MOUSE Acetyl-CoA acetyltransferase, cytosolic OS=Mus musculus OX=10090 GN=Acat2 PE=1 SV=2	ACAT2	19.6439833056792	18.890378856205	19.3826986612139	19.7529044378984
Q8BMP6	>sp|Q8BMP6|GCP60_MOUSE Golgi resident protein GCP60 OS=Mus musculus OX=10090 GN=Acbd3 PE=1 SV=3	ACBD3	20.0273497488204	18.2624541179899	20.1803782626097	20.0748212483588
Q5XG73	>sp|Q5XG73|ACBD5_MOUSE Acyl-CoA-binding domain-containing protein 5 OS=Mus musculus OX=10090 GN=Acbd5 PE=1 SV=1	ACBD5	16.3060483701203	17.2605661156095	15.909392336299	
Q9JIX8	>sp|Q9JIX8|ACINU_MOUSE Apoptotic chromatin condensation inducer in the nucleus OS=Mus musculus OX=10090 GN=Acin1 PE=1 SV=3	ACIN1	18.4819110457958	18.6306533001576	18.276792153683	18.1276776126252
Q3V117	>tr|Q3V117|Q3V117_MOUSE Isoform of Q91V92, ATP-citrate synthase OS=Mus musculus OX=10090 GN=Acly PE=1 SV=1	ACLY	20.0194971591822	20.0513055039037	19.5086566746888	20.0629731777417
Q99KI0	>sp|Q99KI0|ACON_MOUSE Aconitate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1	ACO2	20.5488383810295	21.0539540946813	20.7500911743421	21.0218820043487
Q9QYR9	>sp|Q9QYR9|ACOT2_MOUSE Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus OX=10090 GN=Acot2 PE=1 SV=2	ACOT2	20.5531606869696	21.7681595040363	20.5765148931387	20.938763571925
Q91V12	>sp|Q91V12|BACH_MOUSE Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus OX=10090 GN=Acot7 PE=1 SV=2	ACOT7	19.2358541413426	18.7665471670101	19.5025325119363	19.0652585434747
Q9R0X4	>sp|Q9R0X4|ACOT9_MOUSE Acyl-coenzyme A thioesterase 9, mitochondrial OS=Mus musculus OX=10090 GN=Acot9 PE=1 SV=1	ACOT9	19.2916411639579	19.4932510893169	20.3554455570043	19.9853003281568
