protein_id	fasta_headers	gene_symbols_or_id	MS1d4-Exo	MS2d4-Exo	MW1d4-Exo	MW2d4-Exo
Q3UPC7	>sp|Q3UPC7|K0825_MOUSE Uncharacterized protein KIAA0825 homolog OS=Mus musculus OX=10090 PE=2 SV=3	sp|Q3UPC7|K0825_MOUSE	17.3085663358564	16.9085414399285	17.3819976753994	18.476978351209
Q14AA6	>tr|Q14AA6|Q14AA6_MOUSE GTP-binding nuclear protein Ran OS=Mus musculus OX=10090 GN=1700009N14Rik PE=1 SV=1	1700009N14RIK		17.9995512308347	18.316409417362	
Q6GQT1	>sp|Q6GQT1|A2MG_MOUSE Alpha-2-macroglobulin-P OS=Mus musculus OX=10090 GN=A2m PE=2 SV=2	A2M	20.7573935372723	21.5894472170715	20.4366339110237	20.555052552407
Q8BGQ7	>sp|Q8BGQ7|SYAC_MOUSE Alanine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Aars1 PE=1 SV=1	AARS1	17.3561422736347	17.4576394028082	17.577551156455	17.1284814502567
Q6P542	>sp|Q6P542|ABCF1_MOUSE ATP-binding cassette sub-family F member 1 OS=Mus musculus OX=10090 GN=Abcf1 PE=1 SV=1	ABCF1	14.7111906009951	17.6306969580713	17.4445372688886	16.7976905691041
Q99LE6	>sp|Q99LE6|ABCF2_MOUSE ATP-binding cassette sub-family F member 2 OS=Mus musculus OX=10090 GN=Abcf2 PE=1 SV=1	ABCF2	16.286797575923	17.2060958432578	16.9001118187832	
Q8VCR7	>sp|Q8VCR7|ABHEB_MOUSE Putative protein-lysine deacylase ABHD14B OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1	ABHD14B		17.3681520498204	16.2801433329572	
Q8CBW3	>sp|Q8CBW3|ABI1_MOUSE Abl interactor 1 OS=Mus musculus OX=10090 GN=Abi1 PE=1 SV=3	ABI1	19.264785346554	19.8095798520497	19.663045741802	19.0372424765498
A0A338P6S8;A0A338P6W9;E9Q8E3;Q59IW5;Q59IW6;Q59IW7;Q59IW9	>tr|A0A338P6S8|A0A338P6S8_MOUSE ABI family member 3 binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1;>tr|A0A338P6W9|A0A338P6W9_MOUSE Isoform of A0A338P6S8, ABI family member 3 binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1;>tr|E9Q8E3|E9Q8E3_MOUSE Isoform of A0A338P6S8, ABI family member 3 binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1;>tr|Q59IW5|Q59IW5_MOUSE Isoform of A0A338P6S8, ABI family member 3 binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1;>tr|Q59IW6|Q59IW6_MOUSE Isoform of A0A338P6S8, ABI family member 3 binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1;>tr|Q59IW7|Q59IW7_MOUSE Isoform of A0A338P6S8, ABI family member 3 binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1;>tr|Q59IW9|Q59IW9_MOUSE Isoform of A0A338P6S8, ABI family member 3 binding protein OS=Mus musculus OX=10090 GN=Abi3bp PE=1 SV=1	ABI3BP	17.2559024825259	16.886740017079	16.7250299593687	16.5868093255255
E9Q4Z2	>sp|E9Q4Z2|ACACB_MOUSE Acetyl-CoA carboxylase 2 OS=Mus musculus OX=10090 GN=Acacb PE=1 SV=1	ACACB	18.4615962749048	17.7929352428394	18.8393995997735	19.900052894129
Q8CAY6	>sp|Q8CAY6|THIC_MOUSE Acetyl-CoA acetyltransferase, cytosolic OS=Mus musculus OX=10090 GN=Acat2 PE=1 SV=2	ACAT2	15.430006428217	16.8718692273279	16.7867086868871	
Q8BMP6	>sp|Q8BMP6|GCP60_MOUSE Golgi resident protein GCP60 OS=Mus musculus OX=10090 GN=Acbd3 PE=1 SV=3	ACBD3	17.445550268621		16.6775789002733	
Q9JIX8	>sp|Q9JIX8|ACINU_MOUSE Apoptotic chromatin condensation inducer in the nucleus OS=Mus musculus OX=10090 GN=Acin1 PE=1 SV=3	ACIN1	17.6164140008525	17.5891442536135	16.9870695181013	17.7590599151993
Q3V117	>tr|Q3V117|Q3V117_MOUSE Isoform of Q91V92, ATP-citrate synthase OS=Mus musculus OX=10090 GN=Acly PE=1 SV=1	ACLY	17.208869857119	17.2663761425947	17.4203244361502	17.3967150183619
Q99KI0	>sp|Q99KI0|ACON_MOUSE Aconitate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1	ACO2	17.0818561062593	18.4506849979729	18.4683309529939	19.3681351268546
Q9D358	>sp|Q9D358|PPAC_MOUSE Low molecular weight phosphotyrosine protein phosphatase OS=Mus musculus OX=10090 GN=Acp1 PE=1 SV=3	ACP1	18.4875542448613	18.3625760326859	18.3800287898313	18.4655683106713
P24638	>sp|P24638|PPAL_MOUSE Lysosomal acid phosphatase OS=Mus musculus OX=10090 GN=Acp2 PE=1 SV=2	ACP2	17.6496472669178	17.8438491457871	17.4206295171439	
P68134	>sp|P68134|ACTS_MOUSE Actin, alpha skeletal muscle OS=Mus musculus OX=10090 GN=Acta1 PE=1 SV=1	ACTA1	21.0060034408729	21.3252374050909	21.227538815691	20.9476109346122
E9Q5F4	>tr|E9Q5F4|E9Q5F4_MOUSE Isoform of P60710, Actin, beta (Fragment) OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1	ACTB	19.7711815349068	19.5328762536982	20.0676442721802	19.3343690508357
Q8BFZ3	>sp|Q8BFZ3|ACTBL_MOUSE Beta-actin-like protein 2 OS=Mus musculus OX=10090 GN=Actbl2 PE=1 SV=1	ACTBL2	21.3230974796956	21.603025676179	21.5173747283515	20.9946550211328
F8WGM8	>tr|F8WGM8|F8WGM8_MOUSE Isoform of P63260, Actin, cytoplasmic 2 (Fragment) OS=Mus musculus OX=10090 GN=Actg1 PE=1 SV=1	ACTG1	16.280751519714	16.2892412058081	16.3275891345783	16.1186526882
P63260	>sp|P63260|ACTG_MOUSE Actin, cytoplasmic 2 OS=Mus musculus OX=10090 GN=Actg1 PE=1 SV=1	ACTG1	20.7755059960746	20.8808051473271	20.6554500901333	19.956899101055
P63268	>sp|P63268|ACTH_MOUSE Actin, gamma-enteric smooth muscle OS=Mus musculus OX=10090 GN=Actg2 PE=1 SV=1	ACTG2	19.7670150285864	19.5807290412552	19.6700937409472	19.7876222009693
Q7TPR4	>sp|Q7TPR4|ACTN1_MOUSE Alpha-actinin-1 OS=Mus musculus OX=10090 GN=Actn1 PE=1 SV=1	ACTN1	17.6404629148824	17.9727860554668	18.3949902501888	17.8451563059345
Q9JI91	>sp|Q9JI91|ACTN2_MOUSE Alpha-actinin-2 OS=Mus musculus OX=10090 GN=Actn2 PE=1 SV=2	ACTN2	15.6513420865059	16.2363709573309	16.6197998585813	17.3464964161722
P57780	>sp|P57780|ACTN4_MOUSE Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1	ACTN4	18.3921676957165	17.9272605134291	18.3809390450057	18.7613307792086
P61164	>sp|P61164|ACTZ_MOUSE Alpha-centractin OS=Mus musculus OX=10090 GN=Actr1a PE=1 SV=1	ACTR1A	19.0052580140689	19.2276015870813	18.853333431758	19.1362489975811
P61161	>sp|P61161|ARP2_MOUSE Actin-related protein 2 OS=Mus musculus OX=10090 GN=Actr2 PE=1 SV=1	ACTR2	17.230585560172	15.7856779993409	16.5534114102411	17.6245591667873
Q99JY9	>sp|Q99JY9|ARP3_MOUSE Actin-related protein 3 OS=Mus musculus OX=10090 GN=Actr3 PE=1 SV=3	ACTR3		16.9093588545372	16.818371999339	
P56375	>sp|P56375|ACYP2_MOUSE Acylphosphatase-2 OS=Mus musculus OX=10090 GN=Acyp2 PE=1 SV=2	ACYP2	18.9495052905165	18.6564047098739	18.6264352532293	19.1955412057651
O35598	>sp|O35598|ADA10_MOUSE Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus OX=10090 GN=Adam10 PE=1 SV=2	ADAM10	16.6159690502116	17.089117611851	16.0508228263248	
P54923	>sp|P54923|ADPRH_MOUSE ADP-ribosylhydrolase ARH1 OS=Mus musculus OX=10090 GN=Adprh PE=1 SV=1	ADPRH	18.9872856196619	19.8092894117738	19.3590379487426	
Q9JKV1	>sp|Q9JKV1|ADRM1_MOUSE Proteasomal ubiquitin receptor ADRM1 OS=Mus musculus OX=10090 GN=Adrm1 PE=1 SV=2	ADRM1	15.0873618416254	16.5261390584222	15.7635858676034	15.7451440153223
P54822	>sp|P54822|PUR8_MOUSE Adenylosuccinate lyase OS=Mus musculus OX=10090 GN=Adsl PE=1 SV=2	ADSL	16.3883561718679	17.1743043136982	16.0927902627106	15.9862727796634
Q640N1	>sp|Q640N1|AEBP1_MOUSE Adipocyte enhancer-binding protein 1 OS=Mus musculus OX=10090 GN=Aebp1 PE=1 SV=1	AEBP1	18.7119447555515	19.0888263810334	18.947624793771	18.6294714515609
Q3UMC0	>sp|Q3UMC0|AFG2A_MOUSE ATPase family gene 2 protein homolog A OS=Mus musculus OX=10090 GN=Afg2a PE=1 SV=2	AFG2A		19.7271374028788	19.9305114960289	19.9712221199867
Q8JZQ2	>sp|Q8JZQ2|AFG32_MOUSE Mitochondrial inner membrane m-AAA protease component AFG3L2 OS=Mus musculus OX=10090 GN=Afg3l2 PE=1 SV=1	AFG3L2	22.8568556339193			23.6328452923488
