protein_id	fasta_headers	gene_symbols_or_id	FS1-L	FS2-L	FW1-L	FW2-L
E0CYV9	>sp|E0CYV9|CD054_MOUSE Uncharacterized protein C4orf54 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|E0CYV9|CD054_MOUSE	18.5320104169079	18.5992968395416	16.9458423575741	17.2416700303983
Q3U6N9	>sp|Q3U6N9|CH033_MOUSE UPF0488 protein C8orf33 homolog OS=Mus musculus OX=10090 PE=2 SV=1	sp|Q3U6N9|CH033_MOUSE	21.24052542438	21.2527595036311	20.9003005748975	20.7924056086486
Q5XFZ0	>sp|Q5XFZ0|CR021_MOUSE UPF0711 protein C18orf21 homolog OS=Mus musculus OX=10090 PE=2 SV=2	sp|Q5XFZ0|CR021_MOUSE	17.4938822013096	17.5276208655903	18.0082319991278	17.8590403588492
Q8C3W1	>sp|Q8C3W1|CA198_MOUSE Uncharacterized protein C1orf198 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q8C3W1|CA198_MOUSE	19.7540435538265	19.3313947706416	19.3213541129967	19.0456737791881
Q91V76	>sp|Q91V76|CK054_MOUSE Ester hydrolase C11orf54 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q91V76|CK054_MOUSE		17.3927422262053	18.5319299263298	18.5137655778085
Q9D727	>sp|Q9D727|CF226_MOUSE Uncharacterized protein C6orf226 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q9D727|CF226_MOUSE		17.3715945589124	17.2758181713316	17.6930299868812
Q9D7E4	>sp|Q9D7E4|CS025_MOUSE UPF0449 protein C19orf25 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q9D7E4|CS025_MOUSE	18.742629478663	17.9784009931618	17.6111839023679	17.6878531747991
Q9D937	>sp|Q9D937|CK098_MOUSE Uncharacterized protein C11orf98 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q9D937|CK098_MOUSE		17.781622391951	17.4249955208221	17.3964373376127
A0AAQ4VMW9	>tr|A0AAQ4VMW9|A0AAQ4VMW9_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 PE=4 SV=1	tr|A0AAQ4VMW9|A0AAQ4VMW9_MOUSE		19.0044029418227	17.8944249820538	
D3YWR8	>tr|D3YWR8|D3YWR8_MOUSE Isoform of Q8K039, RIKEN cDNA 1110059G10 gene OS=Mus musculus OX=10090 GN=1110059G10Rik PE=1 SV=1	1110059G10RIK	19.421408984856	19.908693436165	19.9296665824472	20.0205495922749
Q8BWE1	>tr|Q8BWE1|Q8BWE1_MOUSE RIKEN cDNA 1810024B03 gene OS=Mus musculus OX=10090 GN=1810024B03Rik PE=2 SV=1	1810024B03RIK	20.4147495611611	19.9596225686231	18.9975922287472	19.237040754102
Q6GQT1	>sp|Q6GQT1|A2MG_MOUSE Alpha-2-macroglobulin-P OS=Mus musculus OX=10090 GN=A2m PE=2 SV=2	A2M	20.0835753863338	19.328486901214	18.7488867418343	18.8192982355424
Q9D2R0	>sp|Q9D2R0|AACS_MOUSE Acetoacetyl-CoA synthetase OS=Mus musculus OX=10090 GN=Aacs PE=1 SV=1	AACS	19.1826966893035	19.2742131083772	20.4754380728099	20.243138466884
A0A571BEI2	>tr|A0A571BEI2|A0A571BEI2_MOUSE Isoform of Q3UHJ0, AP2 associated kinase 1 (Fragment) OS=Mus musculus OX=10090 GN=Aak1 PE=1 SV=1	AAK1		18.7962150040534	19.2897380043101	18.9870060264946
Q3UHJ0	>sp|Q3UHJ0|AAK1_MOUSE AP2-associated protein kinase 1 OS=Mus musculus OX=10090 GN=Aak1 PE=1 SV=2	AAK1	19.6573000925193	19.693531292115	19.8391292779775	19.76100191304
Q8R0P4	>sp|Q8R0P4|AAMDC_MOUSE Mth938 domain-containing protein OS=Mus musculus OX=10090 GN=Aamdc PE=1 SV=1	AAMDC	20.2596535505005	20.6086259429274	20.2851827017207	20.5052238969408
Q8BGQ7	>sp|Q8BGQ7|SYAC_MOUSE Alanine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Aars1 PE=1 SV=1	AARS1	19.870887900444	19.6214106581935	20.3210073234293	20.2351009767518
Q14CH7	>sp|Q14CH7|SYAM_MOUSE Alanine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Aars2 PE=1 SV=1	AARS2	19.7908133122226	19.6274621723152	18.6912415683865	18.8558434593549
Q9JKX4	>sp|Q9JKX4|AATF_MOUSE Protein AATF OS=Mus musculus OX=10090 GN=Aatf PE=1 SV=1	AATF	19.53265695384	19.202701904096	18.6073756692928	18.7176507687288
Q9JI39	>sp|Q9JI39|ABCBA_MOUSE ATP-binding cassette sub-family B member 10, mitochondrial OS=Mus musculus OX=10090 GN=Abcb10 PE=1 SV=1	ABCB10	20.7888941165851	20.4898590004082	20.5241565573023	20.8542227233667
Q9JJ59	>sp|Q9JJ59|ABCB9_MOUSE ABC-type oligopeptide transporter ABCB9 OS=Mus musculus OX=10090 GN=Abcb9 PE=1 SV=1	ABCB9	19.9785614911308	18.2905441257143	16.9151488934865	
P61222	>sp|P61222|ABCE1_MOUSE ATP-binding cassette sub-family E member 1 OS=Mus musculus OX=10090 GN=Abce1 PE=1 SV=1	ABCE1	20.6681497587973	19.6782695277053	18.6499987852015	18.5504117262095
Q6P542	>sp|Q6P542|ABCF1_MOUSE ATP-binding cassette sub-family F member 1 OS=Mus musculus OX=10090 GN=Abcf1 PE=1 SV=1	ABCF1	19.2947681155464	19.1562672300159	19.3551703541016	19.3006527845637
Q99LE6	>sp|Q99LE6|ABCF2_MOUSE ATP-binding cassette sub-family F member 2 OS=Mus musculus OX=10090 GN=Abcf2 PE=1 SV=1	ABCF2	19.1453527361602	19.5764691721713	20.0504070326164	20.0466114530911
Q8VD66	>sp|Q8VD66|ABHD4_MOUSE (Lyso)-N-acylphosphatidylethanolamine lipase OS=Mus musculus OX=10090 GN=Abhd4 PE=1 SV=1	ABHD4	16.8081016555973	17.4771201073665	17.3176111400691	17.1227498800379
Q8CBW3	>sp|Q8CBW3|ABI1_MOUSE Abl interactor 1 OS=Mus musculus OX=10090 GN=Abi1 PE=1 SV=3	ABI1	19.5076757022406	19.9755372958764	19.7639834773994	19.8235528201612
P62484	>sp|P62484|ABI2_MOUSE Abl interactor 2 OS=Mus musculus OX=10090 GN=Abi2 PE=1 SV=1	ABI2	20.1315099514426	20.1190459609974	19.7497149043438	19.6847668721036
Q4JIM5	>sp|Q4JIM5|ABL2_MOUSE Tyrosine-protein kinase ABL2 OS=Mus musculus OX=10090 GN=Abl2 PE=1 SV=1	ABL2	18.3181544793101	18.6490250615474	18.3196791445297	18.613314812962
Q8K4G5	>sp|Q8K4G5|ABLM1_MOUSE Actin-binding LIM protein 1 OS=Mus musculus OX=10090 GN=Ablim1 PE=1 SV=1	ABLIM1	18.0775893845417	18.2186700192823	18.4493038185752	18.3311637196686
A0A0J9YUE1	>tr|A0A0J9YUE1|A0A0J9YUE1_MOUSE Isoform of Q8BL65, Actin-binding LIM protein 2 OS=Mus musculus OX=10090 GN=Ablim2 PE=4 SV=1	ABLIM2		19.8652124167162	20.0142337416155	20.2756612659581
Q69ZX8	>sp|Q69ZX8|ABLM3_MOUSE Actin-binding LIM protein 3 OS=Mus musculus OX=10090 GN=Ablim3 PE=1 SV=2	ABLIM3	19.9062271070056	19.7984620062472	19.1449094957356	19.4350414365348
A0A571BG95	>tr|A0A571BG95|A0A571BG95_MOUSE Isoform of Q5SSL4, Active breakpoint cluster region-related protein OS=Mus musculus OX=10090 GN=Abr PE=1 SV=1	ABR	19.9499502718731	19.308994581852	17.9475228198822	17.925436938875
Q8BUZ1	>sp|Q8BUZ1|ABRA_MOUSE Actin-binding Rho-activating protein OS=Mus musculus OX=10090 GN=Abra PE=1 SV=1	ABRA		18.3254452451514	17.8401013258761	18.0922514954257
Q4KML4	>sp|Q4KML4|ABRAL_MOUSE Costars family protein ABRACL OS=Mus musculus OX=10090 GN=Abracl PE=1 SV=1	ABRACL	19.5302464990646	18.8352299209118	20.1555466489856	20.5385126731378
Q3TCJ1	>sp|Q3TCJ1|ABRX2_MOUSE BRISC complex subunit Abraxas 2 OS=Mus musculus OX=10090 GN=Abraxas2 PE=1 SV=1	ABRAXAS2	21.841836596502	21.2666784465224	20.1469756210739	20.1849779291298
Q921H8	>sp|Q921H8|THIKA_MOUSE 3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus OX=10090 GN=Acaa1a PE=1 SV=1	ACAA1A	20.1888164421769	19.898375747859	20.2777714978193	20.4386268796779
Q8BWT1	>sp|Q8BWT1|THIM_MOUSE 3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus OX=10090 GN=Acaa2 PE=1 SV=3	ACAA2	19.579002797799	20.2461476969622	20.4578988004432	20.352065478723
Q5SWU9	>sp|Q5SWU9|ACACA_MOUSE Acetyl-CoA carboxylase 1 OS=Mus musculus OX=10090 GN=Acaca PE=1 SV=1	ACACA	17.4673136719387	18.1712910897009	17.750035072702	17.2935932779764
Q9D7B6	>sp|Q9D7B6|ACAD8_MOUSE Isobutyryl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acad8 PE=1 SV=2	ACAD8	19.4849543898154	19.9127423337243	19.8499858041484	19.8254461956729
Q8JZN5	>sp|Q8JZN5|ACAD9_MOUSE Complex I assembly factor ACAD9, mitochondrial OS=Mus musculus OX=10090 GN=Acad9 PE=1 SV=2	ACAD9	18.4877540359692	17.9845219989508	18.3290986868768	18.4794648510032
P51174	>sp|P51174|ACADL_MOUSE Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadl PE=1 SV=2	ACADL	20.1147552986072	20.727050083434	20.755896616275	20.843527693194
P45952	>sp|P45952|ACADM_MOUSE Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadm PE=1 SV=1	ACADM	18.4842565489875	18.4455711208108	17.8017203073279	18.025511038358
Q07417	>sp|Q07417|ACADS_MOUSE Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acads PE=1 SV=2	ACADS	19.2896624489232	19.6056293428527	19.9928544531081	20.0811501130871
Q9DBL1	>sp|Q9DBL1|ACDSB_MOUSE Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadsb PE=1 SV=1	ACADSB		17.6536171558165	16.9726075778188	16.9114395488433
P50544	>sp|P50544|ACADV_MOUSE Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadvl PE=1 SV=3	ACADVL	20.6971497481355	20.3019291144134	19.9627193516288	20.1588572852995
Q8QZT1	>sp|Q8QZT1|THIL_MOUSE Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Acat1 PE=1 SV=1	ACAT1	20.7063756504781	21.0652561012303	20.3582582183067	20.2263734524754
Q8CAY6	>sp|Q8CAY6|THIC_MOUSE Acetyl-CoA acetyltransferase, cytosolic OS=Mus musculus OX=10090 GN=Acat2 PE=1 SV=2	ACAT2	19.0754701533902	19.7070604845488	20.2416508949192	20.0234819210106
Q8BMP6	>sp|Q8BMP6|GCP60_MOUSE Golgi resident protein GCP60 OS=Mus musculus OX=10090 GN=Acbd3 PE=1 SV=3	ACBD3	21.0245171354429	19.659683647302	18.0304524158633	18.7629726407387
Q5XG73	>sp|Q5XG73|ACBD5_MOUSE Acyl-CoA-binding domain-containing protein 5 OS=Mus musculus OX=10090 GN=Acbd5 PE=1 SV=1	ACBD5		17.2828274541433	18.0661539145112	17.4203416859688
Q9JIX8	>sp|Q9JIX8|ACINU_MOUSE Apoptotic chromatin condensation inducer in the nucleus OS=Mus musculus OX=10090 GN=Acin1 PE=1 SV=3	ACIN1	18.7384903769072	18.9900345684509	18.9547852017288	18.8590359773993
Q3V117	>tr|Q3V117|Q3V117_MOUSE Isoform of Q91V92, ATP-citrate synthase OS=Mus musculus OX=10090 GN=Acly PE=1 SV=1	ACLY	19.8349025318489	19.7703515847098	20.7266723204727	20.7267937186188
Q99KI0	>sp|Q99KI0|ACON_MOUSE Aconitate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1	ACO2	20.3856106216616	20.7745077496233	21.0731233307155	21.1384816954829
Q9QYR9	>sp|Q9QYR9|ACOT2_MOUSE Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus OX=10090 GN=Acot2 PE=1 SV=2	ACOT2	20.2714723748346	20.7659805985681	22.1814050809368	21.8377368059972
Q91V12	>sp|Q91V12|BACH_MOUSE Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus OX=10090 GN=Acot7 PE=1 SV=2	ACOT7	19.1241042549376	19.8553363762014	19.3595847595969	19.374221177679
Q9R0X4	>sp|Q9R0X4|ACOT9_MOUSE Acyl-coenzyme A thioesterase 9, mitochondrial OS=Mus musculus OX=10090 GN=Acot9 PE=1 SV=1	ACOT9	19.7205938097759	20.054912367389	19.6926053301938	19.8238761607104
Q9D358	>sp|Q9D358|PPAC_MOUSE Low molecular weight phosphotyrosine protein phosphatase OS=Mus musculus OX=10090 GN=Acp1 PE=1 SV=3	ACP1	20.5822612341209	21.4932065090939	21.9440088344311	21.7439016371983
P24638	>sp|P24638|PPAL_MOUSE Lysosomal acid phosphatase OS=Mus musculus OX=10090 GN=Acp2 PE=1 SV=2	ACP2	20.106755308838	18.6361337946686	19.3128455509329	19.3836782479068
Q8BP40	>sp|Q8BP40|PPA6_MOUSE Lysophosphatidic acid phosphatase type 6 OS=Mus musculus OX=10090 GN=Acp6 PE=1 SV=1	ACP6	20.1246711618097	19.664627100395	19.0393552006814	18.8330809597496
