protein_id	fasta_headers	gene_symbols_or_id	MS1-L	MS2-L	MW1-L	MW2-L
Q3U6N9	>sp|Q3U6N9|CH033_MOUSE UPF0488 protein C8orf33 homolog OS=Mus musculus OX=10090 PE=2 SV=1	sp|Q3U6N9|CH033_MOUSE	21.0039595196237	20.8098706882568	21.1881426839682	21.1686130039722
Q5XFZ0	>sp|Q5XFZ0|CR021_MOUSE UPF0711 protein C18orf21 homolog OS=Mus musculus OX=10090 PE=2 SV=2	sp|Q5XFZ0|CR021_MOUSE	18.799595470858	18.5083866385188	19.1381734332275	18.8175635033339
Q80WR5	>sp|Q80WR5|CA174_MOUSE UPF0688 protein C1orf174 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q80WR5|CA174_MOUSE	17.405238999453	17.5715398240549	17.5672199094757	17.3328867969609
Q8C3W1	>sp|Q8C3W1|CA198_MOUSE Uncharacterized protein C1orf198 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q8C3W1|CA198_MOUSE	18.9395675103535	19.1320391339478	19.0798800629671	18.9691612947673
Q8C5K5	>sp|Q8C5K5|CX038_MOUSE Uncharacterized protein CXorf38 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q8C5K5|CX038_MOUSE		20.2193876443921	20.9660524095835	
Q8WUR0	>sp|Q8WUR0|CS012_MOUSE Protein C19orf12 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q8WUR0|CS012_MOUSE	19.757050664082	19.7571928609735	19.2067792710214	19.7195922432287
Q91V76	>sp|Q91V76|CK054_MOUSE Ester hydrolase C11orf54 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q91V76|CK054_MOUSE	19.3670644778016	19.6029421698474	19.3514062282437	19.6244085282479
Q9CR55	>sp|Q9CR55|CP087_MOUSE UPF0547 protein C16orf87 homolog OS=Mus musculus OX=10090 PE=2 SV=1	sp|Q9CR55|CP087_MOUSE	17.3993307724399		17.5286564596163	
Q9D727	>sp|Q9D727|CF226_MOUSE Uncharacterized protein C6orf226 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q9D727|CF226_MOUSE	18.010589451773	18.183620502009	18.5661938742469	18.2703903822176
Q9D7E4	>sp|Q9D7E4|CS025_MOUSE UPF0449 protein C19orf25 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q9D7E4|CS025_MOUSE	17.9960565575143	17.8901444976935	18.3394620000663	18.0008735816846
Q9D937	>sp|Q9D937|CK098_MOUSE Uncharacterized protein C11orf98 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q9D937|CK098_MOUSE	17.8748496978803	17.7329055017241	18.4189127020581	18.0838196954766
A0AAQ4VMW9	>tr|A0AAQ4VMW9|A0AAQ4VMW9_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 PE=4 SV=1	tr|A0AAQ4VMW9|A0AAQ4VMW9_MOUSE	17.8292628546261	18.1071616536004	18.0835152953388	18.0887743879115
D3YWR8	>tr|D3YWR8|D3YWR8_MOUSE Isoform of Q8K039, RIKEN cDNA 1110059G10 gene OS=Mus musculus OX=10090 GN=1110059G10Rik PE=1 SV=1	1110059G10RIK	20.122978669942	20.1314170347131	20.2563962954905	20.2557015289785
