protein_id	fasta_headers	gene_symbols_or_id	FS1-S	FS2-S	FW1-S	FW2-S
Q91V76	>sp|Q91V76|CK054_MOUSE Ester hydrolase C11orf54 homolog OS=Mus musculus OX=10090 PE=1 SV=1	sp|Q91V76|CK054_MOUSE	20.2558430767765	19.1317405316898	19.3976670599695	18.8933163423572
Q6GQT1	>sp|Q6GQT1|A2MG_MOUSE Alpha-2-macroglobulin-P OS=Mus musculus OX=10090 GN=A2m PE=2 SV=2	A2M	22.6459215809105	22.4279370861106	22.6842544571676	21.059031721926
Q8R0P4	>sp|Q8R0P4|AAMDC_MOUSE Mth938 domain-containing protein OS=Mus musculus OX=10090 GN=Aamdc PE=1 SV=1	AAMDC	17.9493593119663	18.7173325780148	18.9178322664564	18.8125698667622
Q8BGQ7	>sp|Q8BGQ7|SYAC_MOUSE Alanine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Aars1 PE=1 SV=1	AARS1	18.6798131016325	19.1928177815104	18.5121592768369	18.7530087516571
A0AA74KTA3	>tr|A0AA74KTA3|A0AA74KTA3_MOUSE Isoform of A0AA74KT47, KRAB domain-containing protein OS=Mus musculus OX=10090 GN=AB010352 PE=4 SV=1	AB010352		20.2374636830511	20.484603453331	
Q9DC29	>sp|Q9DC29|ABCB6_MOUSE ATP-binding cassette sub-family B member 6 OS=Mus musculus OX=10090 GN=Abcb6 PE=1 SV=1	ABCB6	25.8297612770878		26.719173129272	
P61222	>sp|P61222|ABCE1_MOUSE ATP-binding cassette sub-family E member 1 OS=Mus musculus OX=10090 GN=Abce1 PE=1 SV=1	ABCE1	18.3430588480013	17.8198168761434	17.759040465525	17.3952988179276
Q8VCR7	>sp|Q8VCR7|ABHEB_MOUSE Putative protein-lysine deacylase ABHD14B OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1	ABHD14B	18.3125963214012	17.6962973037406	19.0718929381608	17.7540471972991
Q8CBW3	>sp|Q8CBW3|ABI1_MOUSE Abl interactor 1 OS=Mus musculus OX=10090 GN=Abi1 PE=1 SV=3	ABI1	17.6916451136639	18.2752888044289	17.6939183520437	17.0004167761659
Q4KML4	>sp|Q4KML4|ABRAL_MOUSE Costars family protein ABRACL OS=Mus musculus OX=10090 GN=Abracl PE=1 SV=1	ABRACL	22.1097010990175	20.971350533459	23.1399662455647	20.9297854454779
Q8BWT1	>sp|Q8BWT1|THIM_MOUSE 3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus OX=10090 GN=Acaa2 PE=1 SV=3	ACAA2	17.3041444674339			16.8223514266684
Q6ZQK5	>sp|Q6ZQK5|ACAP2_MOUSE Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Mus musculus OX=10090 GN=Acap2 PE=1 SV=2	ACAP2		17.5795065260548	16.4747548239624	17.3811549140608
Q8CAY6	>sp|Q8CAY6|THIC_MOUSE Acetyl-CoA acetyltransferase, cytosolic OS=Mus musculus OX=10090 GN=Acat2 PE=1 SV=2	ACAT2	19.6023497827934	19.771821656424	19.470970290361	19.2803087998011
Q8BMP6	>sp|Q8BMP6|GCP60_MOUSE Golgi resident protein GCP60 OS=Mus musculus OX=10090 GN=Acbd3 PE=1 SV=3	ACBD3	19.9611714413182	18.7302646162886	19.9449066678444	19.1878143074045
